GeneID	cellType	Source	ClusterID
LILRA4	DC6	Villani_S2	DC6
PLAC8	DC6	Villani_S2	DC6
C12ORF75	DC6	Villani_S2	DC6
FAM129C	DC6	Villani_S2	DC6
CYBASC3	DC6	Villani_S2	DC6
MZB1	DC6	Villani_S2	DC6
UGCG	DC6	Villani_S2	DC6
DERL3	DC6	Villani_S2	DC6
IL3RA	DC6	Villani_S2	DC6
SPIB	DC6	Villani_S2	DC6
ZFAT	DC6	Villani_S2	DC6
SMPD3	DC6	Villani_S2	DC6
NRP1	DC6	Villani_S2	DC6
TSPAN13	DC6	Villani_S2	DC6
LIME1	DC6	Villani_S2	DC6
CLEC4C	DC6	Villani_S2	DC6
CLIC3	DC6	Villani_S2	DC6
SPCS1	DC6	Villani_S2	DC6
NPC1	DC6	Villani_S2	DC6
HIGD1A	DC6	Villani_S2	DC6
CTSB	DC6	Villani_S2	DC6
NPC2	DC6	Villani_S2	DC6
SEC61B	DC6	Villani_S2	DC6
C1ORF186	DC6	Villani_S2	DC6
TNFRSF21	DC6	Villani_S2	DC6
IRF8	DC6	Villani_S2	DC6
HERPUD1	DC6	Villani_S2	DC6
PLP2	DC6	Villani_S2	DC6
SLC15A4	DC6	Villani_S2	DC6
CD164	DC6	Villani_S2	DC6
BLNK	DC6	Villani_S2	DC6
NCF1C	DC6	Villani_S2	DC6
HSP90B1	DC6	Villani_S2	DC6
OGT	DC6	Villani_S2	DC6
SELS	DC6	Villani_S2	DC6
IRF4	DC6	Villani_S2	DC6
APP	DC6	Villani_S2	DC6
TXN	DC6	Villani_S2	DC6
RUNX2	DC6	Villani_S2	DC6
PTPRCAP	DC6	Villani_S2	DC6
GPR114	DC6	Villani_S2	DC6
STMN1	DC6	Villani_S2	DC6
RNASE6	DC6	Villani_S2	DC6
PFKFB2	DC6	Villani_S2	DC6
MAP1A	DC6	Villani_S2	DC6
NUCB2	DC6	Villani_S2	DC6
SSR4	DC6	Villani_S2	DC6
LAMP5	DC6	Villani_S2	DC6
NCF1	DC6	Villani_S2	DC6
B4GALT1	DC6	Villani_S2	DC6
IGFLR1	DC6	Villani_S2	DC6
NOTCH4	DC6	Villani_S2	DC6
GPR183	DC6	Villani_S2	DC6
EPHB1	DC6	Villani_S2	DC6
LOC285972	DC6	Villani_S2	DC6
MYBL2	DC6	Villani_S2	DC6
PTCRA	DC6	Villani_S2	DC6
SLA2	DC6	Villani_S2	DC6
AK093551	DC6	Villani_S2	DC6
PLXNA4	DC6	Villani_S2	DC6
SEPT1'	DC6	Villani_S2	DC6
C10ORF118	DC6	Villani_S2	DC6
LILRB4	DC6	Villani_S2	DC6
GAPT	DC6	Villani_S2	DC6
IDH3A	DC6	Villani_S2	DC6
MS4A6A	DC6	Villani_S2	DC6
FMNL3	DC6	Villani_S2	DC6
SNRPN	DC6	Villani_S2	DC6
KIAA0226L	DC6	Villani_S2	DC6
BC051760	DC6	Villani_S2	DC6
ST6GALNAC4	DC6	Villani_S2	DC6
OFD1	DC6	Villani_S2	DC6
C9ORF142	DC6	Villani_S2	DC6
TGFBI	DC6	Villani_S2	DC6
SELL	DC6	Villani_S2	DC6
SIDT1	DC6	Villani_S2	DC6
TRAF4	DC6	Villani_S2	DC6
DCK	DC6	Villani_S2	DC6
ERN1	DC6	Villani_S2	DC6
TPM2	DC6	Villani_S2	DC6
PARK7	DC6	Villani_S2	DC6
TLR7	DC6	Villani_S2	DC6
CARD11	DC6	Villani_S2	DC6
DAB2	DC6	Villani_S2	DC6
ERP29	DC6	Villani_S2	DC6
PACSIN1	DC6	Villani_S2	DC6
LOC644961	DC6	Villani_S2	DC6
RABGAP1L	DC6	Villani_S2	DC6
ADAM19	DC6	Villani_S2	DC6
SORL1	DC6	Villani_S2	DC6
PPP1R14B	DC6	Villani_S2	DC6
SCAMP5	DC6	Villani_S2	DC6
USP24	DC6	Villani_S2	DC6
ZDHHC17	DC6	Villani_S2	DC6
CXCR3	DC6	Villani_S2	DC6
MAN2B1	DC6	Villani_S2	DC6
RNASET2	DC6	Villani_S2	DC6
FCHSD2	DC6	Villani_S2	DC6
LAIR1	DC6	Villani_S2	DC6
OVOS2	DC6	Villani_S2	DC6
P2RY14	DC6	Villani_S2	DC6
CYTH4	DC6	Villani_S2	DC6
PPM1K	DC6	Villani_S2	DC6
ABHD15	DC6	Villani_S2	DC6
EIF4A3	DC6	Villani_S2	DC6
P4HB	DC6	Villani_S2	DC6
NCF1B	DC6	Villani_S2	DC6
TSPAN3	DC6	Villani_S2	DC6
TRAM1	DC6	Villani_S2	DC6
ABPARTS	DC6	Villani_S2	DC6
COBLL1	DC6	Villani_S2	DC6
CREB3L2	DC6	Villani_S2	DC6
TMEM109	DC6	Villani_S2	DC6
SCN9A	DC6	Villani_S2	DC6
CYP46A1	DC6	Villani_S2	DC6
LGMN	DC6	Villani_S2	DC6
NGLY1	DC6	Villani_S2	DC6
C17ORF109	DC6	Villani_S2	DC6
PLA2G16	DC6	Villani_S2	DC6
SLC38A1	DC6	Villani_S2	DC6
PHEX	DC6	Villani_S2	DC6
CD99	DC6	Villani_S2	DC6
PPM1J	DC6	Villani_S2	DC6
C10ORF58	DC6	Villani_S2	DC6
KIAA0226	DC6	Villani_S2	DC6
DHRS7	DC6	Villani_S2	DC6
CNP	DC6	Villani_S2	DC6
CDCA7L	DC6	Villani_S2	DC6
SIT1	DC6	Villani_S2	DC6
TACC1	DC6	Villani_S2	DC6
RASD1	DC6	Villani_S2	DC6
TMIGD2	DC6	Villani_S2	DC6
KRT5	DC6	Villani_S2	DC6
ASPH	DC6	Villani_S2	DC6
LOC652276	DC6	Villani_S2	DC6
PDIA4	DC6	Villani_S2	DC6
AHI1	DC6	Villani_S2	DC6
GPM6B	DC6	Villani_S2	DC6
HPS4	DC6	Villani_S2	DC6
SIVA1	DC6	Villani_S2	DC6
LOC100507600	DC6	Villani_S2	DC6
UBE2J1	DC6	Villani_S2	DC6
FAM160A1	DC6	Villani_S2	DC6
IFI44L	DC6	Villani_S2	DC6
MAPKAPK2	DC6	Villani_S2	DC6
CMKLR1	DC6	Villani_S2	DC6
AX747844	DC6	Villani_S2	DC6
GGA2	DC6	Villani_S2	DC6
TP53I13	DC6	Villani_S2	DC6
CSF2RB	DC6	Villani_S2	DC6
LOC100233209	DC6	Villani_S2	DC6
TCL1A	DC6	Villani_S2	DC6
ATP2A3	DC6	Villani_S2	DC6
FLNB	DC6	Villani_S2	DC6
NEK8	DC6	Villani_S2	DC6
TBC1D4	DC6	Villani_S2	DC6
CUX2	DC6	Villani_S2	DC6
PDCD4	DC6	Villani_S2	DC6
SND1	DC6	Villani_S2	DC6
SLC2A1	DC6	Villani_S2	DC6
SMC6	DC6	Villani_S2	DC6
LY9	DC6	Villani_S2	DC6
STAMBPL1	DC6	Villani_S2	DC6
KIRREL3	DC6	Villani_S2	DC6
SCARB2	DC6	Villani_S2	DC6
EMB	DC6	Villani_S2	DC6
PAFAH2	DC6	Villani_S2	DC6
VEGFB	DC6	Villani_S2	DC6
AL833181	DC6	Villani_S2	DC6
DQ572107	DC6	Villani_S2	DC6
ZCCHC11	DC6	Villani_S2	DC6
DUSP5	DC6	Villani_S2	DC6
SLC38A2	DC6	Villani_S2	DC6
SLC7A5	DC6	Villani_S2	DC6
TTC24	DC6	Villani_S2	DC6
ANKRD36	DC6	Villani_S2	DC6
TMEM19	DC6	Villani_S2	DC6
LOC100131564	DC6	Villani_S2	DC6
CD2AP	DC6	Villani_S2	DC6
GAS6	DC6	Villani_S2	DC6
IGFBP3	DC6	Villani_S2	DC6
MIF4GD	DC6	Villani_S2	DC6
IRF2BP2	DC6	Villani_S2	DC6
CRYM	DC6	Villani_S2	DC6
DKFZP586I1420	DC6	Villani_S2	DC6
DKFZP667P0924	DC6	Villani_S2	DC6
TEX2	DC6	Villani_S2	DC6
FLJ43663	DC6	Villani_S2	DC6
FKBP2	DC6	Villani_S2	DC6
SPICE1	DC6	Villani_S2	DC6
AHNAK2	DC6	Villani_S2	DC6
ANKRD36BP1	DC6	Villani_S2	DC6
RNF5	DC6	Villani_S2	DC6
RRBP1	DC6	Villani_S2	DC6
SLC12A3	DC6	Villani_S2	DC6
SLC3A2	DC6	Villani_S2	DC6
SEC61G	DC6	Villani_S2	DC6
ATP13A2	DC6	Villani_S2	DC6
LRRC36	DC6	Villani_S2	DC6
AK095700	DC6	Villani_S2	DC6
C12ORF44	DC6	Villani_S2	DC6
POLB	DC6	Villani_S2	DC6
LMAN1	DC6	Villani_S2	DC6
AK057596	DC6	Villani_S2	DC6
PHC3	DC6	Villani_S2	DC6
SUSD1	DC6	Villani_S2	DC6
ANKRD36B	DC6	Villani_S2	DC6
CRIM1	DC6	Villani_S2	DC6
MGAT4A	DC6	Villani_S2	DC6
SEL1L3	DC6	Villani_S2	DC6
SLC7A11	DC6	Villani_S2	DC6
MILR1	DC6	Villani_S2	DC6
PAPLN	DC6	Villani_S2	DC6
CLN8	DC6	Villani_S2	DC6
VAMP1	DC6	Villani_S2	DC6
CCDC69	DC6	Villani_S2	DC6
KANK1	DC6	Villani_S2	DC6
LTB	DC6	Villani_S2	DC6
STRBP	DC6	Villani_S2	DC6
SLC20A1	DC6	Villani_S2	DC6
SNURF-SNRPN	DC6	Villani_S2	DC6
SOLH	DC6	Villani_S2	DC6
PARP10	DC6	Villani_S2	DC6
BX647938	DC6	Villani_S2	DC6
PAIP1	DC6	Villani_S2	DC6
MAGED1	DC6	Villani_S2	DC6
DHTKD1	DC6	Villani_S2	DC6
IL28RA	DC6	Villani_S2	DC6
C5ORF62	DC6	Villani_S2	DC6
SLC35E2	DC6	Villani_S2	DC6
FZD3	DC6	Villani_S2	DC6
EGLN3	DC6	Villani_S2	DC6
MEF2D	DC6	Villani_S2	DC6
TNFAIP3	DC6	Villani_S2	DC6
COL24A1	DC6	Villani_S2	DC6
MCOLN2	DC6	Villani_S2	DC6
TUBB6	DC6	Villani_S2	DC6
CLCN5	DC6	Villani_S2	DC6
FUT7	DC6	Villani_S2	DC6
SFT2D2	DC6	Villani_S2	DC6
CSNK1E	DC6	Villani_S2	DC6
NOP56	DC6	Villani_S2	DC6
ST3GAL4	DC6	Villani_S2	DC6
DPPA4	DC6	Villani_S2	DC6
GNG7	DC6	Villani_S2	DC6
SEC61A1	DC6	Villani_S2	DC6
DSN1	DC6	Villani_S2	DC6
FLJ42627	DC6	Villani_S2	DC6
ZDHHC4	DC6	Villani_S2	DC6
CCR2	DC6	Villani_S2	DC6
C6ORF25	DC6	Villani_S2	DC6
ITPR2	DC6	Villani_S2	DC6
TMEM63A	DC6	Villani_S2	DC6
ABCA2	DC6	Villani_S2	DC6
ADA	DC6	Villani_S2	DC6
FOXRED2	DC6	Villani_S2	DC6
ST3GAL2	DC6	Villani_S2	DC6
PMS2P5	DC6	Villani_S2	DC6
SGSM3	DC6	Villani_S2	DC6
USP11	DC6	Villani_S2	DC6
GAB1	DC6	Villani_S2	DC6
STT3A	DC6	Villani_S2	DC6
SULF2	DC6	Villani_S2	DC6
C18ORF8	DC6	Villani_S2	DC6
DENND5B	DC6	Villani_S2	DC6
NFX1	DC6	Villani_S2	DC6
SUZ12P	DC6	Villani_S2	DC6
CTNS	DC6	Villani_S2	DC6
TXNDC5	DC6	Villani_S2	DC6
SETBP1	DC6	Villani_S2	DC6
TATDN3	DC6	Villani_S2	DC6
LOC642776	DC6	Villani_S2	DC6
MDFIC	DC6	Villani_S2	DC6
SEC11C	DC6	Villani_S2	DC6
UBA5	DC6	Villani_S2	DC6
MYO1E	DC6	Villani_S2	DC6
TASP1	DC6	Villani_S2	DC6
PIK3CD	DC6	Villani_S2	DC6
MDN1	DC6	Villani_S2	DC6
PPARA	DC6	Villani_S2	DC6
DQ576756	DC6	Villani_S2	DC6
TCL6	DC6	Villani_S2	DC6
TGFBR2	DC6	Villani_S2	DC6
TP53I11	DC6	Villani_S2	DC6
11-Sep	DC6	Villani_S2	DC6
SBDS	DC6	Villani_S2	DC6
ZFYVE26	DC6	Villani_S2	DC6
BTAF1	DC6	Villani_S2	DC6
C5ORF45	DC6	Villani_S2	DC6
PTK7	DC6	Villani_S2	DC6
SRPR	DC6	Villani_S2	DC6
ERO1LB	DC6	Villani_S2	DC6
NAPSA	DC6	Villani_S2	DC6
C9ORF91	DC6	Villani_S2	DC6
STAG3L3	DC6	Villani_S2	DC6
TULP4	DC6	Villani_S2	DC6
CYSLTR1	DC6	Villani_S2	DC6
LOC284551	DC6	Villani_S2	DC6
SNRNP25	DC6	Villani_S2	DC6
ALG2	DC6	Villani_S2	DC6
ITGAE	DC6	Villani_S2	DC6
MAP2K6	DC6	Villani_S2	DC6
TBCC	DC6	Villani_S2	DC6
OCLN	DC6	Villani_S2	DC6
DCPS	DC6	Villani_S2	DC6
LRP8	DC6	Villani_S2	DC6
STAG3L1	DC6	Villani_S2	DC6
KRR1	DC6	Villani_S2	DC6
C12ORF45	DC6	Villani_S2	DC6
PCYOX1	DC6	Villani_S2	DC6
SPNS3	DC6	Villani_S2	DC6
TPST2	DC6	Villani_S2	DC6
MYB	DC6	Villani_S2	DC6
SLC12A2	DC6	Villani_S2	DC6
ZBTB33	DC6	Villani_S2	DC6
ABI2	DC6	Villani_S2	DC6
PMS2L2	DC6	Villani_S2	DC6
GLCE	DC6	Villani_S2	DC6
ITPR1	DC6	Villani_S2	DC6
MRPL36	DC6	Villani_S2	DC6
C5ORF64	DC6	Villani_S2	DC6
PFKP	DC6	Villani_S2	DC6
S100PBP	DC6	Villani_S2	DC6
SPON2	DC6	Villani_S2	DC6
SPG20	DC6	Villani_S2	DC6
TRDMT1	DC6	Villani_S2	DC6
N4BP2L1	DC6	Villani_S2	DC6
PPP6R1	DC6	Villani_S2	DC6
RCL1	DC6	Villani_S2	DC6
ZNF506	DC6	Villani_S2	DC6
AHCY	DC6	Villani_S2	DC6
CXORF21	DC6	Villani_S2	DC6
CCS	DC6	Villani_S2	DC6
RNASEH2B	DC6	Villani_S2	DC6
SYS1	DC6	Villani_S2	DC6
P2RY6	DC6	Villani_S2	DC6
PPFIBP1	DC6	Villani_S2	DC6
NFATC2IP	DC6	Villani_S2	DC6
ZNF527	DC6	Villani_S2	DC6
MINA	DC6	Villani_S2	DC6
TAX1BP3	DC6	Villani_S2	DC6
DAAM1	DC6	Villani_S2	DC6
GALNT2	DC6	Villani_S2	DC6
LOC400657	DC6	Villani_S2	DC6
C1ORF55	DC6	Villani_S2	DC6
RREB1	DC6	Villani_S2	DC6
VIPR2	DC6	Villani_S2	DC6
ARL6IP6	DC6	Villani_S2	DC6
QDPR	DC6	Villani_S2	DC6
ABCA7	DC6	Villani_S2	DC6
SLC23A2	DC6	Villani_S2	DC6
BEX4	DC6	Villani_S2	DC6
SLC33A1	DC6	Villani_S2	DC6
THSD1P1	DC6	Villani_S2	DC6
ARHGEF4	DC6	Villani_S2	DC6
C6ORF170	DC6	Villani_S2	DC6
N4BP2	DC6	Villani_S2	DC6
SPATA5	DC6	Villani_S2	DC6
CRYM-AS1	DC6	Villani_S2	DC6
IQGAP2	DC6	Villani_S2	DC6
DAPK2	DC6	Villani_S2	DC6
MFSD2A	DC6	Villani_S2	DC6
PCMTD1	DC6	Villani_S2	DC6
ANKS3	DC6	Villani_S2	DC6
CEP135	DC6	Villani_S2	DC6
LOC100131089	DC6	Villani_S2	DC6
ALDH5A1	DC6	Villani_S2	DC6
BC034268	DC6	Villani_S2	DC6
MAP4K4	DC6	Villani_S2	DC6
SERTAD2	DC6	Villani_S2	DC6
PCNX	DC6	Villani_S2	DC6
PHLPP2	DC6	Villani_S2	DC6
EFHC1	DC6	Villani_S2	DC6
SP4	DC6	Villani_S2	DC6
TRRAP	DC6	Villani_S2	DC6
NICN1	DC6	Villani_S2	DC6
TRIM74	DC6	Villani_S2	DC6
HNRNPA1L2	DC6	Villani_S2	DC6
CD14	Mono1	Villani_S5	Mono1
VCAN	Mono1	Villani_S5	Mono1
S100A8	Mono1	Villani_S5	Mono1
S100A9	Mono1	Villani_S5	Mono1
FCN1	Mono1	Villani_S5	Mono1
ITGB2	Mono1	Villani_S5	Mono1
LRP1	Mono1	Villani_S5	Mono1
CSF3R	Mono1	Villani_S5	Mono1
TKT	Mono1	Villani_S5	Mono1
LYZ	Mono1	Villani_S5	Mono1
APLP2	Mono1	Villani_S5	Mono1
FPR1	Mono1	Villani_S5	Mono1
CD36	Mono1	Villani_S5	Mono1
S100A12	Mono1	Villani_S5	Mono1
CLEC4E	Mono1	Villani_S5	Mono1
ITGAM	Mono1	Villani_S5	Mono1
SLC2A3	Mono1	Villani_S5	Mono1
CTSD	Mono1	Villani_S5	Mono1
NEAT1	Mono1	Villani_S5	Mono1
PTAFR	Mono1	Villani_S5	Mono1
TREM1	Mono1	Villani_S5	Mono1
NAIP	Mono1	Villani_S5	Mono1
NCF1	Mono1	Villani_S5	Mono1
FCGR2A	Mono1	Villani_S5	Mono1
SCPEP1	Mono1	Villani_S5	Mono1
CTSA	Mono1	Villani_S5	Mono1
NLRP3	Mono1	Villani_S5	Mono1
ACSL1	Mono1	Villani_S5	Mono1
SDCBP	Mono1	Villani_S5	Mono1
SLC11A1	Mono1	Villani_S5	Mono1
IRS2	Mono1	Villani_S5	Mono1
VNN2	Mono1	Villani_S5	Mono1
DPYD	Mono1	Villani_S5	Mono1
CLEC7A	Mono1	Villani_S5	Mono1
BST1	Mono1	Villani_S5	Mono1
PLBD1	Mono1	Villani_S5	Mono1
PYGL	Mono1	Villani_S5	Mono1
QPCT	Mono1	Villani_S5	Mono1
BC013828	Mono1	Villani_S5	Mono1
CD163	Mono1	Villani_S5	Mono1
AQP9	Mono1	Villani_S5	Mono1
PELI1	Mono1	Villani_S5	Mono1
FAM198B	Mono1	Villani_S5	Mono1
GAS7	Mono1	Villani_S5	Mono1
STAB1	Mono1	Villani_S5	Mono1
CDA	Mono1	Villani_S5	Mono1
DOK3	Mono1	Villani_S5	Mono1
IRAK3	Mono1	Villani_S5	Mono1
PLAUR	Mono1	Villani_S5	Mono1
AL137655	Mono1	Villani_S5	Mono1
LILRA6	Mono1	Villani_S5	Mono1
TLR4	Mono1	Villani_S5	Mono1
AX747598	Mono1	Villani_S5	Mono1
TLR2	Mono1	Villani_S5	Mono1
AGTRAP	Mono1	Villani_S5	Mono1
CRISPLD2	Mono1	Villani_S5	Mono1
CCR1	Mono1	Villani_S5	Mono1
NFAM1	Mono1	Villani_S5	Mono1
ETS2	Mono1	Villani_S5	Mono1
RAB27A	Mono1	Villani_S5	Mono1
BNIP3L	Mono1	Villani_S5	Mono1
HPSE	Mono1	Villani_S5	Mono1
PER1	Mono1	Villani_S5	Mono1
MEGF9	Mono1	Villani_S5	Mono1
CD300E	Mono1	Villani_S5	Mono1
CYP1B1	Mono1	Villani_S5	Mono1
FCAR	Mono1	Villani_S5	Mono1
SOD2	Mono1	Villani_S5	Mono1
UPP1	Mono1	Villani_S5	Mono1
IER3	Mono1	Villani_S5	Mono1
C5AR1	Mono1	Villani_S5	Mono1
NLRP12	Mono1	Villani_S5	Mono1
SMA	Mono1	Villani_S5	Mono1
DMXL2	Mono1	Villani_S5	Mono1
NCF1B	Mono1	Villani_S5	Mono1
CREB5	Mono1	Villani_S5	Mono1
CR1	Mono1	Villani_S5	Mono1
ALDH1A1	Mono1	Villani_S5	Mono1
ASGR1	Mono1	Villani_S5	Mono1
FNDC3B	Mono1	Villani_S5	Mono1
DUSP6	Mono1	Villani_S5	Mono1
TOM1	Mono1	Villani_S5	Mono1
CDC42EP3	Mono1	Villani_S5	Mono1
ZBTB16	Mono1	Villani_S5	Mono1
DYSF	Mono1	Villani_S5	Mono1
KCNE3	Mono1	Villani_S5	Mono1
CD93	Mono1	Villani_S5	Mono1
CEBPD	Mono1	Villani_S5	Mono1
FCGR1A	Mono1	Villani_S5	Mono1
PLEKHM1	Mono1	Villani_S5	Mono1
CPM	Mono1	Villani_S5	Mono1
MPP7	Mono1	Villani_S5	Mono1
AK302511	Mono1	Villani_S5	Mono1
IL1B	Mono1	Villani_S5	Mono1
PFKFB3	Mono1	Villani_S5	Mono1
PLD3	Mono1	Villani_S5	Mono1
SMA3	Mono1	Villani_S5	Mono1
F13A1	Mono1	Villani_S5	Mono1
G0S2	Mono1	Villani_S5	Mono1
LOC100133161	Mono1	Villani_S5	Mono1
PHF21A	Mono1	Villani_S5	Mono1
TLR8	Mono1	Villani_S5	Mono1
CLMN	Mono1	Villani_S5	Mono1
TNFAIP3	Mono1	Villani_S5	Mono1
LAIR2	Mono2	Villani_S5	Mono2
ASAH1	Mono2	Villani_S5	Mono2
APOBEC3A	Mono2	Villani_S5	Mono2
TSPAN14	Mono2	Villani_S5	Mono2
LIPA	Mono2	Villani_S5	Mono2
CYTIP	Mono2	Villani_S5	Mono2
SIGLEC10	Mono2	Villani_S5	Mono2
LILRB1	Mono2	Villani_S5	Mono2
EMR1	Mono2	Villani_S5	Mono2
TTYH3	Mono2	Villani_S5	Mono2
CAMKK2	Mono2	Villani_S5	Mono2
CX3CR1	Mono2	Villani_S5	Mono2
C3AR1	Mono2	Villani_S5	Mono2
BC013828	Mono2	Villani_S5	Mono2
RASGEF1B	Mono2	Villani_S5	Mono2
BIRC3	Mono2	Villani_S5	Mono2
PLIN2	Mono2	Villani_S5	Mono2
CD300C	Mono2	Villani_S5	Mono2
CD83	Mono2	Villani_S5	Mono2
XYLT1	Mono2	Villani_S5	Mono2
KLF2	Mono2	Villani_S5	Mono2
FBP1	Mono2	Villani_S5	Mono2
G0S2	Mono3	Villani_S5	Mono3
NAMPT	Mono3	Villani_S5	Mono3
NEAT1	Mono3	Villani_S5	Mono3
AL137655	Mono3	Villani_S5	Mono3
CSF3R	Mono3	Villani_S5	Mono3
FCGR3B	Mono3	Villani_S5	Mono3
SRGN	Mono3	Villani_S5	Mono3
TREM1	Mono3	Villani_S5	Mono3
TNFRSF10C	Mono3	Villani_S5	Mono3
MXD1	Mono3	Villani_S5	Mono3
SOD2	Mono3	Villani_S5	Mono3
CXCR2	Mono3	Villani_S5	Mono3
SLC25A37	Mono3	Villani_S5	Mono3
S100A8	Mono3	Villani_S5	Mono3
FPR1	Mono3	Villani_S5	Mono3
ITM2B	Mono3	Villani_S5	Mono3
MNDA	Mono3	Villani_S5	Mono3
VNN2	Mono3	Villani_S5	Mono3
SDCBP	Mono3	Villani_S5	Mono3
CXCR1	Mono3	Villani_S5	Mono3
S100A9	Mono3	Villani_S5	Mono3
AQP9	Mono3	Villani_S5	Mono3
SORL1	Mono3	Villani_S5	Mono3
ACSL1	Mono3	Villani_S5	Mono3
AX747598	Mono3	Villani_S5	Mono3
R3HDM4	Mono3	Villani_S5	Mono3
NCF1	Mono3	Villani_S5	Mono3
IFITM2	Mono3	Villani_S5	Mono3
FCGR2A	Mono3	Villani_S5	Mono3
XPO6	Mono3	Villani_S5	Mono3
GCA	Mono3	Villani_S5	Mono3
C5AR1	Mono3	Villani_S5	Mono3
TKT	Mono3	Villani_S5	Mono3
PELI1	Mono3	Villani_S5	Mono3
SLC2A3	Mono3	Villani_S5	Mono3
CLEC4E	Mono3	Villani_S5	Mono3
MMP25	Mono3	Villani_S5	Mono3
GLUL	Mono3	Villani_S5	Mono3
CD14	Mono3	Villani_S5	Mono3
LOC388312	Mono3	Villani_S5	Mono3
NCF1C	Mono3	Villani_S5	Mono3
VMP1	Mono3	Villani_S5	Mono3
RTN3	Mono3	Villani_S5	Mono3
ACTN1	Mono3	Villani_S5	Mono3
PTAFR	Mono3	Villani_S5	Mono3
S100A12	Mono3	Villani_S5	Mono3
SEC14L1	Mono3	Villani_S5	Mono3
DQ574721	Mono3	Villani_S5	Mono3
LITAF	Mono3	Villani_S5	Mono3
TLR2	Mono3	Villani_S5	Mono3
SHKBP1	Mono3	Villani_S5	Mono3
LIMK2	Mono3	Villani_S5	Mono3
LOC100505702	Mono3	Villani_S5	Mono3
PYGL	Mono3	Villani_S5	Mono3
RNF24	Mono3	Villani_S5	Mono3
DNAJC25-GNG10	Mono3	Villani_S5	Mono3
IL8	Mono3	Villani_S5	Mono3
FPR2	Mono3	Villani_S5	Mono3
LOC731275	Mono3	Villani_S5	Mono3
SLC12A6	Mono3	Villani_S5	Mono3
IL1R2	Mono3	Villani_S5	Mono3
VNN3	Mono3	Villani_S5	Mono3
CFD	Mono3	Villani_S5	Mono3
VCAN	Mono3	Villani_S5	Mono3
BC013828	Mono3	Villani_S5	Mono3
NAIP	Mono3	Villani_S5	Mono3
ZBTB16	Mono3	Villani_S5	Mono3
BCL2A1	Mono3	Villani_S5	Mono3
FAM129A	Mono3	Villani_S5	Mono3
PLAUR	Mono3	Villani_S5	Mono3
FNDC3B	Mono3	Villani_S5	Mono3
FP15737	Mono3	Villani_S5	Mono3
SEPX1	Mono3	Villani_S5	Mono3
LOC100133161	Mono3	Villani_S5	Mono3
PER1	Mono3	Villani_S5	Mono3
FBXL5	Mono3	Villani_S5	Mono3
IL17RA	Mono3	Villani_S5	Mono3
TLR4	Mono3	Villani_S5	Mono3
IGF2R	Mono3	Villani_S5	Mono3
ITGAM	Mono3	Villani_S5	Mono3
HIST1H2AC	Mono3	Villani_S5	Mono3
LRP1	Mono3	Villani_S5	Mono3
KREMEN1	Mono3	Villani_S5	Mono3
C12ORF35	Mono3	Villani_S5	Mono3
PRRG4	Mono3	Villani_S5	Mono3
CR1	Mono3	Villani_S5	Mono3
RAB27A	Mono3	Villani_S5	Mono3
LOC100505815	Mono3	Villani_S5	Mono3
BST1	Mono3	Villani_S5	Mono3
NUMB	Mono3	Villani_S5	Mono3
USP15	Mono3	Villani_S5	Mono3
CDA	Mono3	Villani_S5	Mono3
IER3	Mono3	Villani_S5	Mono3
ACADSB	Mono3	Villani_S5	Mono3
DYSF	Mono3	Villani_S5	Mono3
PXN	Mono3	Villani_S5	Mono3
PDP2	Mono3	Villani_S5	Mono3
TNFRSF1A	Mono3	Villani_S5	Mono3
LRG1	Mono3	Villani_S5	Mono3
LOC91948	Mono3	Villani_S5	Mono3
FLJ45445	Mono3	Villani_S5	Mono3
SMAP2	Mono3	Villani_S5	Mono3
LOC643802	Mono3	Villani_S5	Mono3
NINJ1	Mono3	Villani_S5	Mono3
ABTB1	Mono3	Villani_S5	Mono3
CCNY	Mono3	Villani_S5	Mono3
TMEM154	Mono3	Villani_S5	Mono3
CCR1	Mono3	Villani_S5	Mono3
CARD8	Mono3	Villani_S5	Mono3
TACC3	Mono3	Villani_S5	Mono3
TMEM71	Mono3	Villani_S5	Mono3
PTGS2	Mono3	Villani_S5	Mono3
HPSE	Mono3	Villani_S5	Mono3
C3ORF72	Mono3	Villani_S5	Mono3
FAM157A	Mono3	Villani_S5	Mono3
AK130076	Mono3	Villani_S5	Mono3
CD163	Mono3	Villani_S5	Mono3
NBEAL2	Mono3	Villani_S5	Mono3
IL1RAP	Mono3	Villani_S5	Mono3
GK	Mono3	Villani_S5	Mono3
AZGP1P1	Mono3	Villani_S5	Mono3
DOK3	Mono3	Villani_S5	Mono3
PROK2	Mono3	Villani_S5	Mono3
FAM115C	Mono3	Villani_S5	Mono3
QPCT	Mono3	Villani_S5	Mono3
ALPL	Mono3	Villani_S5	Mono3
BEST1	Mono3	Villani_S5	Mono3
CES3	Mono3	Villani_S5	Mono3
CREB5	Mono3	Villani_S5	Mono3
SPAG9	Mono3	Villani_S5	Mono3
GPR97	Mono3	Villani_S5	Mono3
TBL1X	Mono3	Villani_S5	Mono3
FAM198B	Mono3	Villani_S5	Mono3
FCAR	Mono3	Villani_S5	Mono3
PHF21A	Mono3	Villani_S5	Mono3
IRS2	Mono3	Villani_S5	Mono3
CYP1B1	Mono3	Villani_S5	Mono3
NCF1B	Mono3	Villani_S5	Mono3
BC048113	Mono3	Villani_S5	Mono3
